P	V
0.023823448	206.57704
0.04684613	276.34448
0.07597551	303.59738
0.098148614	319.94913
0.124017246	334.12064
0.14966848	348.29214
0.17423281	360.28342
0.198145	370.09448
0.22205718	377.72528
0.24944748	399.52762
0.27466395	415.87936
0.29835877	422.42004
0.32335785	448.58286
0.34727	461.66425
0.37422556	478.016
0.39965943	492.1875
0.42357162	510.71948
0.45009238	528.1613
0.4735698	542.3328
0.64937866	690.5887
0.67524725	721.11194
0.6995942	761.1737
0.7232564	803.5247
0.7501902	854.6512
0.77326906	909.3387
0.79989856	965.298
0.8214557	1002.18024
0.88688815	1220.9302
0.89779353	1283.2485
0.908699	1416.7878
0.91706824	2429.1423
0.9297489	3207.4854
0.937611	3215.1162
0.9477555	3225.2908
0.95942175	3230.378
0.9728633	3238.0088
0.9928988	3250.7268
