P	V
0.023078874	235.28343
0.049708344	263.2631
0.076337814	286.15552
0.0996703	298.87354
0.124017246	314.13516
0.14811057	324.3096
0.17397921	335.75583
0.19807254	353.56104
0.24930257	366.27908
0.2751712	377.72528
0.2990109	391.71512
0.32513314	401.88953
0.3494801	418.42297
0.37560233	428.59738
0.4007101	441.3154
0.42531067	456.57703
0.44991124	471.83865
0.47425818	485.8285
0.49885875	499.81833
0.52498096	522.71075
0.54856706	535.4288
0.5741821	548.1468
0.60139126	570.67584
0.62465125	587.0276
0.6489982	613.1904
0.67508423	639.3532
0.6992138	677.50726
0.7233434	708.0305
0.74986416	748.3648
0.7737763	788.69916
0.80051446	841.0247
0.8205137	907.5218
0.85442555	1033.9753
0.898337	1189.8619
0.9087714	1243.2776
0.91898847	1308.6846
0.9276838	1441.6788
0.93833554	3037.6091
0.9485526	3144.4404
0.95963913	3159.7021
0.97659504	3164.0625
0.9918119	3172.7834
