p/p0,relative_adsorption
3.0077406644e-21,0.010309196769
0.109087070487,0.034468447633
0.548369372556,0.0582312980159
0.763018845765,0.0816010269252
0.85395872837,0.104580913368
0.897327198928,0.127174236352
0.920428033654,0.149384274885
0.933821173054,0.171214307974
0.942095193521,0.192667614626
0.947455329098,0.213747473849
0.951051958459,0.23445716465
0.953526525439,0.254799966037
0.955256813001,0.274779157017
0.956475688419,0.294398016597
0.957332310934,0.313659823786
0.957925400955,0.332567857589
0.958322162869,0.351125397016
0.958569478033,0.369335721072
0.9587007555,0.387202108766
0.95874025273,0.404727839105
0.95874025273,0.404727839105
0.95874025273,0.493858107255
0.95874025273,0.573615377391
0.95874025273,0.644520371625
0.95874025273,0.707093812069
0.95874025273,0.761856420835
0.95874025273,0.809328920034
0.95874025273,0.850032031779
0.95874025273,0.884486478182
0.95874025273,0.913212981354
0.95874025273,0.936732263407
0.95874025273,0.955565046453
0.95874025273,0.970232052604
0.95874025273,0.981254003972
0.95874025273,0.989151622669
0.95874025273,0.994445630807
0.95874025273,0.997656750497
0.95874025273,0.999305703851
0.95874025273,0.999913212981
0.95874025273,1.0
0.95874025273,1.0
0.963324669093,1.0
0.967909085457,1.0
0.97249350182,1.0
0.977077918183,1.0
0.981662334547,1.0
0.98624675091,1.0
0.990831167273,1.0
0.995415583637,1.0
1.0,1.0
