p/p0,relative_desorption
3.00034831416e-21,0.011070009653
0.000392186282791,0.0224596505226
0.0612404632748,0.0337615032439
0.257295994129,0.0449759074505
0.456491377017,0.0561032027763
0.602609584954,0.067143728855
0.701812138721,0.0780978253204
0.768901328489,0.0889658318062
0.815115087926,0.0997480879462
0.847728106398,0.110444933374
0.871309645073,0.121056707724
0.888749816677,0.131583750629
0.901912236441,0.142026401724
0.912026443266,0.152385000641
0.919922644771,0.162659887016
0.92617393674,0.172851400481
0.931184143796,0.18295988067
0.935243243037,0.192985667218
0.938563090545,0.202929099757
0.941300930534,0.212790517922
0.941300930534,0.212790517922
0.941300930534,0.33065961518
0.941300930534,0.436133520127
0.941300930534,0.529900854557
0.941300930534,0.612650240266
0.941300930534,0.685070299049
0.941300930534,0.747849652701
0.941300930534,0.801676923016
0.941300930534,0.847240731791
0.941300930534,0.88522970082
0.941300930534,0.916332451898
0.941300930534,0.94123760682
0.941300930534,0.960633787381
0.941300930534,0.975209615377
0.941300930534,0.985653712602
0.941300930534,0.992654700852
0.941300930534,0.996901201922
0.941300930534,0.999081837607
0.941300930534,0.999885229701
0.941300930534,1.0
0.941300930534,1.0
0.947823049364,1.0
0.954345168193,1.0
0.960867287023,1.0
0.967389405852,1.0
0.973911524682,1.0
0.980433643511,1.0
0.986955762341,1.0
0.99347788117,1.0
1.0,1.0
