p/p0,relative_adsorption
3.02490397564e-21,0.00854696209913
0.166126279313,0.0310777134649
0.624142144528,0.0532645121659
0.810266881713,0.075110003825
0.88440078396,0.0966168340648
0.918807684543,0.117787648508
0.936870304336,0.138625092778
0.947249926398,0.159131812497
0.953624334449,0.179310453288
0.957736333992,0.199163660773
0.960486588181,0.218694080576
0.962373978085,0.237904358319
0.963690883195,0.256797139625
0.964616851666,0.275375070117
0.965266552092,0.293640795417
0.965715699958,0.311596961149
0.966015742457,0.329246212935
0.966202515306,0.346591196397
0.966301526413,0.363634557159
0.966331280489,0.380378940843
0.966331280489,0.380378940843
0.966331280489,0.473154976381
0.966331280489,0.556174622593
0.966331280489,0.629979901107
0.966331280489,0.695112833554
0.966331280489,0.752115441562
0.966331280489,0.801529746761
0.966331280489,0.84389777078
0.966331280489,0.879761535247
0.966331280489,0.909663061794
0.966331280489,0.934144372048
0.966331280489,0.953747487638
0.966331280489,0.969014430195
0.966331280489,0.980487221347
0.966331280489,0.988707882724
0.966331280489,0.994218435955
0.966331280489,0.997560902668
0.966331280489,0.999277304494
0.966331280489,0.999909663062
0.966331280489,1.0
0.966331280489,1.0
0.970072249324,1.0
0.973813218158,1.0
0.977554186993,1.0
0.981295155827,1.0
0.985036124662,1.0
0.988777093496,1.0
0.992518062331,1.0
0.996259031165,1.0
1.0,1.0
